rep,fold,f1,roc_auc,pr_auc
1,1,0.4,0.7304526748971194,0.3142339142339142
1,2,0.08695652173913043,0.5365384615384615,0.1765103557762216
1,3,0.3076923076923077,0.6271186440677965,0.16694915254237286
1,4,0.2,0.7457627118644067,0.400679117147708
1,5,0.0,0.6767241379310346,0.16414141414141414
2,1,0.18181818181818182,0.5724137931034483,0.14207966866769045
2,2,0.0,0.48070175438596496,0.09143300230647335
2,3,0.3157894736842105,0.7688311688311689,0.35582259219477264
2,4,0.14285714285714285,0.5543859649122806,0.15768093974990527
2,5,0.3157894736842105,0.7792207792207793,0.24809657383289918
3,1,0.1,0.5153061224489796,0.14276649308506315
3,2,0.0,0.7344632768361582,0.10832004253056884
3,3,0.5454545454545454,0.7543103448275862,0.5003246753246753
3,4,0.13333333333333333,0.5684210526315789,0.1805031810294968
3,5,0.3157894736842105,0.7538461538461537,0.35303431656063233
4,1,0.125,0.7076271186440678,0.21725146198830408
4,2,0.0,0.19774011299435026,0.03920046016681047
4,3,0.23529411764705882,0.662037037037037,0.21797759988549462
4,4,0.42105263157894735,0.8025974025974026,0.3895840718421364
4,5,0.16666666666666666,0.7090909090909091,0.25596396624721746
5,1,0.13333333333333333,0.42091836734693877,0.13687188157882413
5,2,0.2857142857142857,0.6939203354297694,0.4250340231272434
5,3,0.3333333333333333,0.8793103448275862,0.3333333333333333
5,4,0.18181818181818182,0.6497175141242938,0.10881834215167549
5,5,0.11764705882352941,0.7559523809523809,0.19704739704739704
6,1,0.3076923076923077,0.693103448275862,0.43437229437229435
6,2,0.3076923076923077,0.7052631578947368,0.3730601092896175
6,3,0.2222222222222222,0.7738095238095237,0.20724889145941777
6,4,0.1111111111111111,0.5922077922077922,0.15301991241840865
6,5,0.14285714285714285,0.4851190476190476,0.1259667418129548
7,1,0.375,0.7831632653061226,0.37526045383188233
7,2,0.1111111111111111,0.6815476190476191,0.15414935745395514
7,3,0.23529411764705882,0.4883116883116883,0.30903161839373333
7,4,0.23529411764705882,0.6934523809523809,0.31114417989417986
7,5,0.0,0.7231638418079095,0.13536036036036037
8,1,0.2,0.611111111111111,0.09544021343681786
8,2,0.0,0.6422413793103449,0.110343567251462
8,3,0.25,0.6192307692307693,0.2664421755664206
8,4,0.375,0.7321428571428572,0.5245379072681704
8,5,0.13333333333333333,0.6666666666666667,0.18392800702122739
9,1,0.35294117647058826,0.7168367346938775,0.42165840466427423
9,2,0.36363636363636365,0.8189655172413793,0.42584033613445377
9,3,0.0,0.5980769230769231,0.1999500295676221
9,4,0.2857142857142857,0.6939655172413794,0.1984126984126984
9,5,0.14285714285714285,0.6034482758620691,0.13685271646859082
10,1,0.18181818181818182,0.8166666666666668,0.16570048309178745
10,2,0.14285714285714285,0.768361581920904,0.2525252525252525
10,3,0.13333333333333333,0.6875,0.17445765870372024
10,4,0.42857142857142855,0.6101190476190477,0.2635220241152444
10,5,0.18181818181818182,0.607843137254902,0.32673951039586846
