rep,fold,f1,roc_auc,pr_auc
1,1,0.38095238095238093,0.6646090534979423,0.2932584859476065
1,2,0.19047619047619047,0.6326923076923077,0.3042700128994868
1,3,0.26666666666666666,0.6158192090395479,0.15740740740740738
1,4,0.2222222222222222,0.7175141242937852,0.23032581453634085
1,5,0.2,0.6422413793103449,0.3241178829190056
2,1,0.2857142857142857,0.7172413793103449,0.28340585340585345
2,2,0.14285714285714285,0.5614035087719298,0.2990565456952012
2,3,0.2857142857142857,0.6207792207792208,0.2507961989484946
2,4,0.26666666666666666,0.5543859649122806,0.2202488981073373
2,5,0.3157894736842105,0.761038961038961,0.26242710314138884
3,1,0.2,0.5051020408163265,0.15839500441870147
3,2,0.0,0.6949152542372881,0.09654234654234656
3,3,0.42857142857142855,0.7758620689655173,0.495
3,4,0.25,0.6666666666666667,0.27279176201373
3,5,0.35294117647058826,0.7538461538461539,0.5133341754031409
4,1,0.13333333333333333,0.673728813559322,0.14659090909090908
4,2,0.0,0.3050847457627119,0.058392379358729665
4,3,0.4,0.7615740740740742,0.3607320454145397
4,4,0.3333333333333333,0.6857142857142857,0.3897914721444133
4,5,0.35294117647058826,0.7402597402597402,0.4238361911481234
5,1,0.26666666666666666,0.4821428571428571,0.22963807047407758
5,2,0.38095238095238093,0.6687631027253669,0.29957764550740235
5,3,0.3333333333333333,0.9008620689655172,0.3422619047619047
5,4,0.0,0.5649717514124293,0.07614607614607614
5,5,0.25,0.7946428571428571,0.3418054941274756
6,1,0.23529411764705882,0.6241379310344828,0.18248037676609108
6,2,0.2857142857142857,0.656140350877193,0.19017107987359705
6,3,0.46153846153846156,0.8363095238095238,0.6003391472868217
6,4,0.23529411764705882,0.6571428571428571,0.3073959980936725
6,5,0.13333333333333333,0.5178571428571428,0.131759577161876
7,1,0.26666666666666666,0.6836734693877551,0.28294663849327495
7,2,0.13333333333333333,0.7232142857142858,0.17899802046661129
7,3,0.3157894736842105,0.5428571428571428,0.45729949874686715
7,4,0.23529411764705882,0.6220238095238095,0.165977377165076
7,5,0.4,0.8813559322033899,0.7083333333333333
8,1,0.2222222222222222,0.5499999999999999,0.1232142857142857
8,2,0.13333333333333333,0.75,0.15684223184223184
8,3,0.36363636363636365,0.6653846153846154,0.43632467532467534
8,4,0.42857142857142855,0.6845238095238095,0.2932830459770115
8,5,0.125,0.6488095238095238,0.30961237646688466
9,1,0.3,0.6607142857142857,0.27192256998416314
9,2,0.3076923076923077,0.7155172413793104,0.27586206896551724
9,3,0.2,0.65,0.3969542127701521
9,4,0.36363636363636365,0.7068965517241379,0.32464146023468055
9,5,0.16666666666666666,0.6551724137931034,0.1529040404040404
10,1,0.4,0.9388888888888889,0.38690476190476186
10,2,0.26666666666666666,0.9152542372881356,0.5158730158730158
10,3,0.13333333333333333,0.7351190476190477,0.19083174083174081
10,4,0.4,0.5982142857142857,0.4675115583039281
10,5,0.19047619047619047,0.5472370766488414,0.2546487946775496
