rep,fold,f1,roc_auc,pr_auc
1,1,0.5294117647058824,0.7542372881355932,0.4230506203767578
1,2,0.42857142857142855,0.7213403880070547,0.5598855010488304
1,3,0.5294117647058824,0.7494929006085191,0.6073831876738155
1,4,0.3448275862068966,0.6671875,0.4234158411572396
1,5,0.5405405405405406,0.8067796610169492,0.5153463916083413
2,1,0.47058823529411764,0.75,0.41030060483972003
2,2,0.6060606060606061,0.7860169491525424,0.6476859937800321
2,3,0.375,0.6985111662531017,0.3147569569771763
2,4,0.3888888888888889,0.7063492063492064,0.4262010017449568
2,5,0.5365853658536586,0.7523219814241485,0.6019977147849069
3,1,0.3684210526315789,0.6943793911007026,0.28764237536223924
3,2,0.45714285714285713,0.6998050682261209,0.5059698205667603
3,3,0.6666666666666666,0.9074941451990632,0.8044159544159544
3,4,0.41379310344827586,0.7490542244640606,0.41802219314245215
3,5,0.4878048780487805,0.6546296296296297,0.4742744457240963
4,1,0.5294117647058824,0.875,0.5965769524593054
4,2,0.32,0.6904761904761905,0.3014812740198321
4,3,0.5555555555555556,0.8199152542372882,0.597963072852804
4,4,0.3684210526315789,0.6220095693779905,0.4008993922264551
4,5,0.5581395348837209,0.7502246181491464,0.5593991479365936
5,1,0.375,0.7476923076923077,0.4074296048171411
5,2,0.6222222222222222,0.8165784832451499,0.6377457409054501
5,3,0.35294117647058826,0.6779661016949152,0.4668619363030094
5,4,0.5142857142857142,0.7579365079365079,0.5349822794916412
5,5,0.4666666666666667,0.7023809523809523,0.4424991050665871
6,1,0.6046511627906976,0.783068783068783,0.5406612954330382
6,2,0.4117647058823529,0.7394540942928038,0.406390686573718
6,3,0.4878048780487805,0.7377777777777778,0.5487148815658245
6,4,0.4,0.7457627118644068,0.5858582516647033
6,5,0.42424242424242425,0.7175141242937852,0.43241186515284225
7,1,0.5454545454545454,0.7019400352733686,0.47983290214519303
7,2,0.375,0.6686182669789227,0.438935155016257
7,3,0.6428571428571429,0.8573200992555833,0.657557575657123
7,4,0.45714285714285713,0.7464285714285714,0.4364994443857258
7,5,0.3783783783783784,0.6986584107327141,0.4331217507787717
8,1,0.29411764705882354,0.6662531017369728,0.25803787438359405
8,2,0.45161290322580644,0.7733333333333334,0.4987800498979086
8,3,0.5,0.7068965517241379,0.5229049324834704
8,4,0.6666666666666666,0.8086253369272236,0.7600456375363138
8,5,0.4444444444444444,0.7175283732660782,0.41069562195739384
9,1,0.35714285714285715,0.7034739454094293,0.3177259396242026
9,2,0.5454545454545454,0.7210953346855983,0.58251173141998
9,3,0.5263157894736842,0.7855555555555556,0.5583849431219465
9,4,0.45,0.7157894736842105,0.4813990638543748
9,5,0.4864864864864865,0.7627118644067796,0.46205078871745536
10,1,0.5405405405405406,0.7251461988304093,0.5033977175275233
10,2,0.24242424242424243,0.6398305084745762,0.39099111572146306
10,3,0.24,0.6338461538461538,0.2487928969178969
10,4,0.631578947368421,0.8524251805985552,0.7076439597396589
10,5,0.6046511627906976,0.7876984126984127,0.5703065393922172
