rep,fold,f1,roc_auc,pr_auc
1,1,0.6153846153846154,0.7669491525423728,0.5092116335189765
1,2,0.5185185185185185,0.7416225749559082,0.5860491283068954
1,3,0.47368421052631576,0.6845841784989859,0.4667901764926284
1,4,0.41025641025641024,0.8,0.5312445384773294
1,5,0.5909090909090909,0.8542372881355933,0.7220806155363876
2,1,0.5853658536585366,0.8155555555555556,0.5684793256599002
2,2,0.5238095238095238,0.763771186440678,0.5911968179107867
2,3,0.4,0.694789081885856,0.3538883657498315
2,4,0.5238095238095238,0.7420634920634921,0.5035675479359887
2,5,0.5909090909090909,0.7822497420020639,0.6692674044375995
3,1,0.4888888888888889,0.7751756440281031,0.4042901765302086
3,2,0.5,0.7115009746588694,0.45533070253142494
3,3,0.7,0.9578454332552693,0.8687462020381274
3,4,0.45,0.733921815889029,0.46562615979596567
3,5,0.4897959183673469,0.674074074074074,0.5749492950200983
4,1,0.4864864864864865,0.8650568181818181,0.6682472162418687
4,2,0.43243243243243246,0.701058201058201,0.3301765064888191
4,3,0.5333333333333333,0.7754237288135593,0.5653057938142957
4,4,0.5,0.722488038277512,0.5883128509581599
4,5,0.6181818181818182,0.7780772686433064,0.5996328907654815
5,1,0.375,0.7061538461538461,0.3311206156895812
5,2,0.6666666666666666,0.8315696649029983,0.7799140772230009
5,3,0.5217391304347826,0.736228813559322,0.4351963231514024
5,4,0.5531914893617021,0.7936507936507937,0.6207399741848292
5,5,0.43902439024390244,0.6833333333333333,0.4701282369752342
6,1,0.6538461538461539,0.8536155202821869,0.7374803891947985
6,2,0.45,0.7196029776674938,0.46760184728815324
6,3,0.5106382978723404,0.77,0.5547210822033012
6,4,0.5555555555555556,0.7988700564971751,0.5521914388597109
6,5,0.41025641025641024,0.648587570621469,0.3860249078384445
7,1,0.6222222222222222,0.800705467372134,0.6031790568866016
7,2,0.46511627906976744,0.7142857142857143,0.47931712413844285
7,3,0.5217391304347826,0.8535980148883375,0.6693736986022782
7,4,0.5,0.7345238095238096,0.4150604903351578
7,5,0.5,0.7203302373581011,0.5880716364588994
8,1,0.4090909090909091,0.6811414392059554,0.3601116073021423
8,2,0.41025641025641024,0.6688888888888889,0.41414783831713214
8,3,0.6046511627906976,0.7951318458417849,0.6678796088347871
8,4,0.64,0.8436657681940701,0.7075978374033396
8,5,0.5263157894736842,0.7868852459016393,0.5606135752570387
9,1,0.47368421052631576,0.7295285359801488,0.41033234579430233
9,2,0.5217391304347826,0.7931034482758621,0.6334783631464336
9,3,0.5116279069767442,0.7788888888888889,0.5945730612387741
9,4,0.6086956521739131,0.7511961722488039,0.5476641660870869
9,5,0.4878048780487805,0.7615819209039548,0.5350364665326303
10,1,0.5490196078431373,0.8021442495126706,0.5642791094545481
10,2,0.391304347826087,0.6578389830508475,0.4034634851585751
10,3,0.2857142857142857,0.5892307692307692,0.2642587339462939
10,4,0.5957446808510638,0.8317853457172343,0.6615250985090053
10,5,0.7142857142857143,0.8422619047619048,0.7730655762289473
