rep,fold,f1,roc_auc,pr_auc
1,1,0.5555555555555556,0.7404661016949153,0.4738948666259474
1,2,0.5116279069767442,0.7733686067019401,0.6696594517010004
1,3,0.5142857142857142,0.7251521298174441,0.5787638162902962
1,4,0.41379310344827586,0.8234375,0.5791257108904168
1,5,0.6153846153846154,0.8531073446327684,0.6871862694101143
2,1,0.5714285714285714,0.8322222222222222,0.6014625004099827
2,2,0.6111111111111112,0.8167372881355932,0.6758329721511579
2,3,0.4,0.6947890818858561,0.37238817761542553
2,4,0.4864864864864865,0.7301587301587301,0.5284583618548828
2,5,0.5641025641025641,0.782249742002064,0.6920022703338484
3,1,0.5,0.7740046838407494,0.4128021918583933
3,2,0.5405405405405406,0.7397660818713451,0.6085532757634208
3,3,0.6285714285714286,0.9285714285714286,0.7985510968805899
3,4,0.42424242424242425,0.7427490542244641,0.5349032257051125
3,5,0.5365853658536586,0.6916666666666667,0.553140854562908
4,1,0.5333333333333333,0.8465909090909091,0.6220957500007397
4,2,0.41379310344827586,0.6851851851851852,0.3230459970442658
4,3,0.5,0.7870762711864407,0.6395927688494986
4,4,0.5641025641025641,0.767464114832536,0.6615121991849111
4,5,0.5909090909090909,0.7762803234501348,0.605059241955711
5,1,0.42857142857142855,0.7446153846153847,0.44633499099839363
5,2,0.6956521739130435,0.8386243386243386,0.7838872486197219
5,3,0.5,0.771186440677966,0.4630024555463019
5,4,0.5641025641025641,0.8045634920634921,0.6491332445619681
5,5,0.36363636363636365,0.6345238095238095,0.370475371594695
6,1,0.6829268292682927,0.8791887125220459,0.7907224735019769
6,2,0.3888888888888889,0.7034739454094293,0.44663218049531883
6,3,0.5,0.7833333333333333,0.6285263392112957
6,4,0.6,0.7796610169491526,0.5652572847827639
6,5,0.46153846153846156,0.6757062146892655,0.4255074639964014
7,1,0.5853658536585366,0.7901234567901235,0.6090328258810594
7,2,0.4375,0.7435597189695551,0.5069019062572103
7,3,0.5142857142857142,0.8312655086848635,0.6391664530630143
7,4,0.5454545454545454,0.7607142857142857,0.5251508961107423
7,5,0.5365853658536586,0.7461300309597524,0.5917655607692993
8,1,0.45,0.7481389578163772,0.5020345323257547
8,2,0.3870967741935484,0.7077777777777778,0.42971108204100533
8,3,0.5454545454545454,0.7718052738336714,0.644564599264139
8,4,0.6818181818181818,0.8337825696316262,0.696243026203059
8,5,0.5294117647058824,0.7856242118537201,0.508747064702276
9,1,0.5454545454545454,0.7890818858560794,0.6100348670936906
9,2,0.5405405405405406,0.808316430020284,0.7377349757839927
9,3,0.5789473684210527,0.8033333333333332,0.6354278581182605
9,4,0.5789473684210527,0.7693779904306219,0.5763665697760949
9,5,0.3888888888888889,0.7028248587570621,0.4788483570905435
10,1,0.5454545454545454,0.8157894736842105,0.5633686606879151
10,2,0.43902439024390244,0.6504237288135594,0.42150650636010817
10,3,0.25,0.6015384615384616,0.2770333745503209
10,4,0.5555555555555556,0.8359133126934984,0.6887012948834978
10,5,0.7567567567567568,0.8422619047619048,0.7858458863960451
