rep,fold,f1,roc_auc,pr_auc
1,1,0.5263157894736842,0.7415254237288136,0.4717310359077705
1,2,0.6190476190476191,0.7751322751322751,0.6313945912773042
1,3,0.5294117647058824,0.7849898580121705,0.5683560262367051
1,4,0.4,0.7765625,0.516921609179168
1,5,0.5142857142857142,0.8271186440677967,0.560501049884326
2,1,0.5555555555555556,0.8077777777777777,0.540430774544289
2,2,0.4864864864864865,0.8114406779661016,0.6742216283113023
2,3,0.48484848484848486,0.728287841191067,0.3472135683553148
2,4,0.5789473684210527,0.7678571428571428,0.574559037906232
2,5,0.5,0.7450980392156862,0.5962935379966049
3,1,0.4864864864864865,0.775175644028103,0.3992107196413919
3,2,0.4864864864864865,0.7573099415204678,0.5992844626186403
3,3,0.6470588235294118,0.9145199063231849,0.7788574520717377
3,4,0.4117647058823529,0.7490542244640606,0.4401743466831403
3,5,0.5714285714285714,0.674074074074074,0.504767581566226
4,1,0.45714285714285713,0.8451704545454546,0.6370757427648923
4,2,0.3333333333333333,0.6957671957671958,0.3580191649309296
4,3,0.5365853658536586,0.7658898305084746,0.4930747045896719
4,4,0.5555555555555556,0.7559808612440191,0.6292182658958974
4,5,0.6666666666666666,0.8176100628930818,0.6718339335727432
5,1,0.4,0.7507692307692307,0.5046729421627142
5,2,0.6530612244897959,0.8447971781305115,0.6717456313068921
5,3,0.45714285714285713,0.7754237288135593,0.4620356541117993
5,4,0.6,0.7708333333333334,0.6061044852568911
5,5,0.4,0.6678571428571428,0.4660809643086459
6,1,0.6511627906976745,0.8377425044091711,0.731823050144286
6,2,0.4666666666666667,0.7369727047146402,0.418882111780144
6,3,0.45,0.73,0.4259472104760494
6,4,0.6060606060606061,0.824858757062147,0.6514942967802749
6,5,0.42105263157894735,0.6689265536723163,0.4120493859238874
7,1,0.6829268292682927,0.8051146384479718,0.6476519012193882
7,2,0.358974358974359,0.680327868852459,0.4720032141356141
7,3,0.5294117647058824,0.8337468982630273,0.504238440414911
7,4,0.5294117647058824,0.7523809523809524,0.4339834750283652
7,5,0.5,0.7708978328173375,0.6165077572213414
8,1,0.3902439024390244,0.7431761786600496,0.4888532076032076
8,2,0.4117647058823529,0.7377777777777778,0.3876062447403077
8,3,0.5625,0.7778904665314401,0.5951481318199291
8,4,0.6808510638297872,0.8382749326145552,0.6912934552500936
8,5,0.5333333333333333,0.7440100882723835,0.49633692972942467
9,1,0.5333333333333333,0.8027295285359801,0.5774338087446387
9,2,0.6111111111111112,0.7697768762677485,0.6672951369632483
9,3,0.46153846153846156,0.8011111111111111,0.6104234216617646
9,4,0.5,0.7521531100478469,0.49831140878646096
9,5,0.5128205128205128,0.7322033898305085,0.4398813932472103
10,1,0.5116279069767442,0.8167641325536062,0.620398638567975
10,2,0.4,0.6239406779661018,0.4454003203806703
10,3,0.2962962962962963,0.6461538461538462,0.3482935971685972
10,4,0.6666666666666666,0.8462332301341589,0.6583414781439685
10,5,0.6842105263157895,0.8511904761904762,0.675677646793466
