rep,fold,f1,roc_auc,pr_auc
1,1,0.4186046511627907,0.68,0.42447645785246957
1,2,0.5714285714285714,0.8109161793372319,0.5814877693198642
1,3,0.5,0.6959745762711864,0.4599390041555027
1,4,0.3157894736842105,0.6974358974358974,0.2114922600216718
1,5,0.5625,0.7742749054224465,0.5276911489383691
2,1,0.35,0.7671957671957672,0.42878862150920977
2,2,0.47619047619047616,0.7060889929742388,0.3950349801518216
2,3,0.34285714285714286,0.6349431818181818,0.2926377247232862
2,4,0.6111111111111112,0.7628968253968254,0.595138425515314
2,5,0.5777777777777777,0.8178879310344827,0.5654096652258417
3,1,0.29411764705882354,0.5525568181818181,0.18739901871924708
3,2,0.5116279069767442,0.7037037037037037,0.40648458888127814
3,3,0.4878048780487805,0.7903225806451614,0.4745447071189075
3,4,0.45161290322580644,0.88125,0.6594071859513035
3,5,0.5714285714285714,0.75311004784689,0.5500599855318297
4,1,0.3870967741935484,0.7794612794612794,0.4478199197826845
4,2,0.3888888888888889,0.71875,0.4855109321572737
4,3,0.5531914893617021,0.8077777777777778,0.46811654308597034
4,4,0.47619047619047616,0.6945304437564499,0.3724905922003189
4,5,0.5238095238095238,0.723444976076555,0.5307899127531058
5,1,0.36363636363636365,0.6076923076923078,0.21106949737630298
5,2,0.5217391304347826,0.7816764132553606,0.6722200286878932
5,3,0.5263157894736842,0.7868852459016393,0.4590314249549654
5,4,0.5263157894736842,0.7966101694915254,0.4810742518351214
5,5,0.4186046511627907,0.6952380952380953,0.47164181534184196
6,1,0.45454545454545453,0.7086466165413534,0.44330658249291266
6,2,0.4444444444444444,0.7022332506203474,0.5685958060672421
6,3,0.48484848484848486,0.7617866004962779,0.3843480715878906
6,4,0.5531914893617021,0.8101694915254237,0.514588730593558
6,5,0.42105263157894735,0.7417027417027418,0.39052878143787234
7,1,0.5882352941176471,0.718694885361552,0.5472236197754213
7,2,0.43902439024390244,0.7270471464019851,0.4429459216135233
7,3,0.3783783783783784,0.6640211640211641,0.3110477352802091
7,4,0.4375,0.717741935483871,0.3971867941421185
7,5,0.4864864864864865,0.8436317780580076,0.5654197002687715
8,1,0.34146341463414637,0.7103174603174603,0.42909267617408936
8,2,0.5294117647058824,0.7072599531615925,0.48361850288665276
8,3,0.48484848484848486,0.7436440677966102,0.5049211074122332
8,4,0.6666666666666666,0.8545454545454545,0.6158878841945493
8,5,0.3076923076923077,0.6171875,0.21504767291531998
9,1,0.32432432432432434,0.6825396825396826,0.3768150148238029
9,2,0.5853658536585366,0.7755555555555556,0.47908998133046155
9,3,0.36363636363636365,0.6612903225806451,0.4903725049878896
9,4,0.631578947368421,0.7941810344827587,0.513484802684
9,5,0.47368421052631576,0.8033898305084746,0.5382156631185309
10,1,0.46511627906976744,0.7261663286004058,0.5764030700132571
10,2,0.5882352941176471,0.8312655086848635,0.5023101004541075
10,3,0.3,0.7369402985074628,0.3386335886335886
10,4,0.5641025641025641,0.7898305084745761,0.583283446896856
10,5,0.47619047619047616,0.6507936507936508,0.35895664896371837
