rep,fold,f1,roc_auc,pr_auc
1,1,0.37209302325581395,0.6877777777777778,0.42965091961686264
1,2,0.55,0.7836257309941521,0.5738402529309096
1,3,0.5116279069767442,0.7574152542372881,0.6071947630324425
1,4,0.35294117647058826,0.7589743589743589,0.4460970507822465
1,5,0.5161290322580645,0.7452711223203027,0.4301003851424019
2,1,0.4444444444444444,0.8492063492063492,0.5379510017441052
2,2,0.42857142857142855,0.6873536299765809,0.39766752484920187
2,3,0.2702702702702703,0.5610795454545454,0.2762724981954252
2,4,0.5,0.7132936507936508,0.5956638938978431
2,5,0.65,0.8771551724137931,0.6549030741254207
3,1,0.25,0.5553977272727273,0.226187760042479
3,2,0.46511627906976744,0.7241715399610136,0.43669663458683416
3,3,0.46153846153846156,0.8287841191066997,0.5792878069598717
3,4,0.4666666666666667,0.796875,0.5885850097614803
3,5,0.5957446808510638,0.7636363636363636,0.5753854313540097
4,1,0.36363636363636365,0.8148148148148147,0.4612643977969055
4,2,0.3448275862068966,0.6775568181818182,0.4154682370644407
4,3,0.5,0.8,0.5264643189893335
4,4,0.5,0.7327141382868937,0.525120952408855
4,5,0.5333333333333333,0.7186602870813398,0.5202753221063032
5,1,0.3448275862068966,0.5769230769230769,0.20512031045185547
5,2,0.5652173913043478,0.8508771929824562,0.800835908250059
5,3,0.55,0.8079625292740047,0.5291105404012763
5,4,0.42424242424242425,0.7491525423728813,0.4891444633310975
5,5,0.37209302325581395,0.6797619047619048,0.4377730530337748
6,1,0.5238095238095238,0.7142857142857143,0.5091060962892044
6,2,0.41025641025641024,0.7121588089330024,0.5779247398207932
6,3,0.3448275862068966,0.739454094292804,0.37412292009066206
6,4,0.5454545454545454,0.8508474576271187,0.7115122340218617
6,5,0.43243243243243246,0.746031746031746,0.4002140229991751
7,1,0.5714285714285714,0.7257495590828925,0.6160443871513426
7,2,0.41025641025641024,0.7431761786600496,0.45240757852074676
7,3,0.2631578947368421,0.6415343915343915,0.2822195815215472
7,4,0.41379310344827586,0.7244623655913979,0.4529177062603608
7,5,0.6111111111111112,0.8335435056746533,0.5140551347179825
8,1,0.4090909090909091,0.7394179894179894,0.3765714221780398
8,2,0.5454545454545454,0.6779859484777518,0.47201890654515355
8,3,0.42424242424242425,0.6832627118644068,0.5538844091165787
8,4,0.6382978723404256,0.8870813397129187,0.6309717206197291
8,5,0.23529411764705882,0.6671874999999999,0.3335878156930788
9,1,0.41025641025641024,0.7513227513227513,0.48951559990506455
9,2,0.42105263157894735,0.6822222222222223,0.45113985181207894
9,3,0.35294117647058826,0.576923076923077,0.31368186017221533
9,4,0.65,0.8943965517241379,0.6873006231415842
9,5,0.45,0.7932203389830508,0.590787163312271
10,1,0.47619047619047616,0.6967545638945233,0.5466235934428216
10,2,0.45714285714285713,0.7853598014888338,0.47198866596511496
10,3,0.3783783783783784,0.6902985074626865,0.2915554556338918
10,4,0.5714285714285714,0.8327683615819208,0.6853751586104526
10,5,0.42857142857142855,0.7380952380952381,0.5396164346511102
