rep,fold,f1,roc_auc,pr_auc
1,1,0.4,0.66,0.39599117302299675
1,2,0.5581395348837209,0.8079922027290447,0.6167989288006486
1,3,0.5,0.7722457627118644,0.5438430721325458
1,4,0.41379310344827586,0.764102564102564,0.4555522278792719
1,5,0.5,0.7793190416141237,0.5027794697760761
2,1,0.4444444444444444,0.835978835978836,0.48754260352538686
2,2,0.45714285714285713,0.7131147540983607,0.45701843584319357
2,3,0.25,0.6036931818181819,0.3268448355695906
2,4,0.5882352941176471,0.7341269841269841,0.5854464552804344
2,5,0.6153846153846154,0.8803879310344828,0.6579889758933877
3,1,0.25,0.5482954545454545,0.18822576101102823
3,2,0.5,0.7426900584795322,0.4946410077916702
3,3,0.5555555555555556,0.8511166253101737,0.5022801393013431
3,4,0.56,0.8078125,0.5422034220984745
3,5,0.5116279069767442,0.7894736842105263,0.6484762167813303
4,1,0.42857142857142855,0.8181818181818181,0.47736202467385264
4,2,0.45161290322580644,0.7315340909090908,0.4249270088929952
4,3,0.5405405405405406,0.7822222222222223,0.4953954671059934
4,4,0.41025641025641024,0.7461300309597523,0.5034361590812493
4,5,0.5365853658536586,0.7444976076555023,0.5633224851742309
5,1,0.37037037037037035,0.6076923076923078,0.22220576962773236
5,2,0.5909090909090909,0.8196881091617935,0.7007022039375544
5,3,0.45714285714285713,0.7985948477751756,0.4968118520993303
5,4,0.4666666666666667,0.7706214689265536,0.49854688720280116
5,5,0.45,0.7404761904761904,0.5699764233096599
6,1,0.46511627906976744,0.7302631578947368,0.48531577669623793
6,2,0.47058823529411764,0.7406947890818859,0.5160622211931893
6,3,0.4,0.738213399503722,0.3703466970435296
6,4,0.631578947368421,0.8610169491525425,0.6848813657936871
6,5,0.3888888888888889,0.7561327561327561,0.44602481834668894
7,1,0.6363636363636364,0.7416225749559083,0.6166705443164278
7,2,0.4,0.7332506203473946,0.5020431789813997
7,3,0.2857142857142857,0.6878306878306878,0.27423423676102654
7,4,0.42857142857142855,0.7486559139784946,0.42343873407624794
7,5,0.5882352941176471,0.8360655737704917,0.5340017825311942
8,1,0.3888888888888889,0.7526455026455027,0.47621708378159416
8,2,0.5,0.7224824355971897,0.46241982655026126
8,3,0.5,0.6641949152542372,0.4993915326802244
8,4,0.6666666666666666,0.8889952153110048,0.6721983994918652
8,5,0.25806451612903225,0.6734375,0.2529977286422843
9,1,0.2857142857142857,0.7288359788359788,0.3913362374259252
9,2,0.47368421052631576,0.7155555555555555,0.46622762404625145
9,3,0.4375,0.6339950372208437,0.4522118568510106
9,4,0.6857142857142857,0.8997844827586207,0.6819406866281866
9,5,0.5,0.7875706214689265,0.591763907495426
10,1,0.47368421052631576,0.6866125760649088,0.4616092912988402
10,2,0.5714285714285714,0.8039702233250621,0.5174310349175333
10,3,0.3333333333333333,0.7294776119402986,0.3448381844763424
10,4,0.6060606060606061,0.8711864406779661,0.7006541606541606
10,5,0.4,0.7251984126984126,0.5212033666725128
