rep,fold,f1,roc_auc,pr_auc
1,1,0.35,0.6455555555555557,0.35842922477595246
1,2,0.4782608695652174,0.7407407407407408,0.5110421820033819
1,3,0.5,0.7457627118644068,0.5231318228872577
1,4,0.4444444444444444,0.8205128205128205,0.5239336005755988
1,5,0.5454545454545454,0.746532156368222,0.465266756420353
2,1,0.45714285714285713,0.8121693121693122,0.4685322343305714
2,2,0.4186046511627907,0.661592505854801,0.410717866974922
2,3,0.23529411764705882,0.6036931818181819,0.3481535166908234
2,4,0.5882352941176471,0.7380952380952381,0.5737006009204734
2,5,0.6,0.8577586206896551,0.5843639163314991
3,1,0.2222222222222222,0.47159090909090906,0.1699880222590086
3,2,0.45,0.7046783625730995,0.41895197892230784
3,3,0.5555555555555556,0.8387096774193548,0.46091237777446714
3,4,0.45161290322580644,0.840625,0.5512902794879538
3,5,0.6046511627906976,0.7961722488038276,0.6638426997769331
4,1,0.41379310344827586,0.7794612794612795,0.42402665468703205
4,2,0.4,0.6789772727272727,0.410192728495254
4,3,0.5365853658536586,0.7811111111111112,0.4456669828895066
4,4,0.358974358974359,0.6718266253869969,0.4316927356863146
4,5,0.5714285714285714,0.7732057416267943,0.6022293725853323
5,1,0.3225806451612903,0.5353846153846153,0.19307429129864975
5,2,0.6046511627906976,0.8216374269005847,0.7423071583427348
5,3,0.46153846153846156,0.7997658079625293,0.45688527860830414
5,4,0.48484848484848486,0.7548022598870057,0.4072824423224881
5,5,0.4,0.7000000000000001,0.47889383114049255
6,1,0.5238095238095238,0.7434210526315789,0.5861061165191321
6,2,0.4444444444444444,0.6985111662531018,0.46460538598246576
6,3,0.42424242424242425,0.7444168734491315,0.36576444851611967
6,4,0.55,0.8158192090395481,0.6384255236260681
6,5,0.34285714285714286,0.6883116883116883,0.3420245536565749
7,1,0.56,0.7513227513227513,0.6773688195988252
7,2,0.4444444444444444,0.71712158808933,0.4055238627842457
7,3,0.29411764705882354,0.6402116402116402,0.24785551079367613
7,4,0.375,0.6962365591397849,0.3513158904071985
7,5,0.5882352941176471,0.8398486759142497,0.5719443544352494
8,1,0.32558139534883723,0.6865079365079365,0.4320100151933273
8,2,0.5294117647058824,0.6791569086651055,0.41978397358109565
8,3,0.45161290322580644,0.7097457627118644,0.550775855904027
8,4,0.7272727272727273,0.8870813397129187,0.6102816395257945
8,5,0.23529411764705882,0.6171875,0.29041604949911404
9,1,0.3225806451612903,0.7182539682539683,0.41182064823369174
9,2,0.5263157894736842,0.6833333333333333,0.4223123395074227
9,3,0.35,0.6178660049627791,0.3996618733160412
9,4,0.5714285714285714,0.8394396551724138,0.5821284175340027
9,5,0.5142857142857142,0.815819209039548,0.571605767582779
10,1,0.45454545454545453,0.6693711967545639,0.48085164600773017
10,2,0.5294117647058824,0.7853598014888339,0.500627691198287
10,3,0.3225806451612903,0.7388059701492538,0.27827101497876144
10,4,0.5641025641025641,0.8372881355932202,0.5876531355102784
10,5,0.42105263157894735,0.7093253968253969,0.5089159699547455
