rep,fold,f1,roc_auc,pr_auc
1,1,0.16666666666666666,0.32407407407407407,0.34025429185612255
1,2,0.5714285714285714,0.880952380952381,0.3666666666666667
1,3,0.6,0.9666666666666667,0.8055555555555556
1,4,0.8888888888888888,1.0,1.0
1,5,0.36363636363636365,0.7236842105263157,0.5458333333333333
2,1,0.9090909090909091,1.0,1.0
2,2,0.5454545454545454,0.7894736842105263,0.6597222222222222
2,3,0.2222222222222222,0.65,0.4606060606060606
2,4,0.3333333333333333,0.40789473684210525,0.2650691699604743
2,5,0.3333333333333333,0.7333333333333333,0.4909090909090909
3,1,0.6666666666666666,0.796875,0.7815934065934066
3,2,0.4,0.6447368421052633,0.5303030303030303
3,3,0.5454545454545454,0.9,0.6805555555555556
3,4,0.2857142857142857,0.7142857142857143,0.25
3,5,0.3333333333333333,0.5952380952380952,0.5526315789473684
4,1,0.6666666666666666,1.0,1.0
4,2,0.5714285714285714,0.6447368421052632,0.5243589743589744
4,3,0.5454545454545454,1.0,1.0
4,4,0.5454545454545454,0.5686274509803921,0.4124098124098124
4,5,0.0,0.5238095238095238,0.12878787878787878
5,1,0.5,0.675925925925926,0.6205615942028985
5,2,0.4,0.75,0.5562770562770563
5,3,0.5333333333333333,0.7450980392156863,0.7696687370600414
5,4,0.6666666666666666,0.9761904761904762,0.8333333333333333
5,5,0.3333333333333333,0.8181818181818181,0.2
6,1,0.6153846153846154,0.7685185185185185,0.7206349206349207
6,2,0.2857142857142857,1.0,1.0
6,3,0.25,0.7857142857142857,0.5909090909090909
6,4,0.6153846153846154,0.6160714285714286,0.5664219838132881
6,5,0.5,0.8500000000000001,0.75
7,1,0.2222222222222222,0.6349206349206349,0.28937728937728935
7,2,0.5454545454545454,1.0,1.0
7,3,0.5,0.7222222222222222,0.5026315789473683
7,4,0.5,0.8095238095238095,0.6
7,5,0.6153846153846154,0.6470588235294118,0.6387085137085137
8,1,0.4,0.7625,0.6339285714285714
8,2,0.5,0.6833333333333333,0.7121212121212122
8,3,0.5,0.75,0.45138888888888884
8,4,0.36363636363636365,0.618421052631579,0.3287878787878788
8,5,0.6666666666666666,0.8777777777777778,0.7476190476190476
9,1,0.2222222222222222,0.5238095238095237,0.43006993006993005
9,2,0.5333333333333333,0.6666666666666667,0.6314218869365928
9,3,0.4444444444444444,1.0,1.0
9,4,0.6666666666666666,0.9500000000000001,0.7555555555555555
9,5,0.5714285714285714,0.8999999999999999,0.7777777777777777
10,1,0.5714285714285714,0.873015873015873,0.6555555555555556
10,2,0.25,0.7857142857142857,0.5909090909090909
10,3,0.4,0.5,0.5264069264069264
10,4,0.6666666666666666,0.892156862745098,0.798611111111111
10,5,0.3333333333333333,0.6666666666666666,0.4653679653679654
