rep,fold,f1,roc_auc,pr_auc
1,1,0.3333333333333333,0.4907407407407407,0.4181216931216931
1,2,0.4444444444444444,0.9285714285714286,0.5
1,3,0.5454545454545454,0.9666666666666667,0.8055555555555556
1,4,0.75,0.9342105263157895,0.8125
1,5,0.36363636363636365,0.736842105263158,0.4375
2,1,0.8,0.8947368421052632,0.8666666666666667
2,2,0.7272727272727273,0.9473684210526316,0.6791666666666667
2,3,0.25,0.75,0.35470085470085466
2,4,0.3076923076923077,0.5789473684210527,0.29128787878787876
2,5,0.2222222222222222,0.6666666666666666,0.4666666666666667
3,1,0.5,0.8046875,0.7580756661639014
3,2,0.3333333333333333,0.605263157894737,0.5142857142857142
3,3,0.6666666666666666,0.95,0.6388888888888888
3,4,0.2222222222222222,0.7142857142857143,0.25
3,5,0.8,0.9761904761904762,0.8333333333333333
4,1,0.7272727272727273,1.0,1.0
4,2,0.36363636363636365,0.7763157894736842,0.5401785714285714
4,3,0.5454545454545454,0.9833333333333333,0.9166666666666665
4,4,0.5454545454545454,0.6470588235294118,0.43441558441558437
4,5,0.0,0.4761904761904762,0.11805555555555555
5,1,0.5,0.7037037037037038,0.5636802810715855
5,2,0.5,0.8026315789473685,0.6083333333333333
5,3,0.5333333333333333,0.7745098039215687,0.7783882783882784
5,4,0.4,0.9761904761904762,0.8333333333333333
5,5,0.3333333333333333,0.9545454545454546,0.5
6,1,0.5714285714285714,0.8148148148148149,0.5819716775599129
6,2,0.3333333333333333,1.0,1.0
6,3,0.2857142857142857,0.7619047619047619,0.5833333333333334
6,4,0.5333333333333333,0.6785714285714285,0.5641742315655358
6,5,0.4444444444444444,0.7666666666666666,0.6180555555555556
7,1,0.25,0.6031746031746031,0.22905982905982908
7,2,0.46153846153846156,1.0,1.0
7,3,0.5454545454545454,0.7555555555555555,0.4863003663003662
7,4,0.3333333333333333,0.9047619047619049,0.45
7,5,0.6153846153846154,0.7745098039215687,0.7150432900432899
8,1,0.5,0.6875,0.6125
8,2,0.5,0.8666666666666667,0.7575757575757576
8,3,0.5,0.9333333333333333,0.5888888888888889
8,4,0.2,0.5,0.23674242424242425
8,5,0.6153846153846154,0.9222222222222223,0.7544444444444445
9,1,0.25,0.5714285714285714,0.3035714285714286
9,2,0.625,0.7666666666666666,0.7008908371040724
9,3,0.36363636363636365,1.0,1.0
9,4,0.4,0.7833333333333333,0.41025641025641024
9,5,0.6666666666666666,0.7833333333333333,0.7291666666666666
10,1,0.6666666666666666,0.7619047619047619,0.6143790849673203
10,2,0.25,0.7142857142857143,0.3269230769230769
10,3,0.4,0.6888888888888889,0.5253588516746412
10,4,0.75,0.8725490196078431,0.5930555555555556
10,5,0.18181818181818182,0.7166666666666667,0.4843304843304843
