rep,fold,f1,roc_auc,pr_auc
1,1,0.2,0.37962962962962965,0.27392850813903447
1,2,0.6666666666666666,0.9523809523809523,0.5833333333333333
1,3,0.6,0.9666666666666667,0.8666666666666667
1,4,0.6,0.8026315789473684,0.5083333333333333
1,5,0.5,0.6973684210526316,0.5368589743589743
2,1,0.8888888888888888,0.8631578947368421,0.8555555555555556
2,2,0.6,0.8947368421052632,0.75
2,3,0.5,0.7333333333333333,0.7192982456140351
2,4,0.2222222222222222,0.39473684210526316,0.19125939849624057
2,5,0.25,0.5833333333333333,0.28044871794871795
3,1,0.5714285714285714,0.65625,0.6218954248366013
3,2,0.4444444444444444,0.6052631578947368,0.5941176470588235
3,3,0.75,0.9833333333333333,0.9166666666666665
3,4,0.2857142857142857,0.6190476190476191,0.19166666666666665
3,5,0.3333333333333333,0.8333333333333334,0.6111111111111112
4,1,0.8,0.9625,0.8541666666666666
4,2,0.4444444444444444,0.6842105263157895,0.4859649122807017
4,3,0.4444444444444444,0.75,0.45138888888888884
4,4,0.5,0.588235294117647,0.49068627450980395
4,5,0.0,0.35714285714285715,0.09728506787330317
5,1,0.16666666666666666,0.4444444444444444,0.2879072681704261
5,2,0.6666666666666666,0.7763157894736843,0.6222222222222222
5,3,0.7272727272727273,0.7549019607843137,0.7698412698412698
5,4,0.5714285714285714,0.9523809523809523,0.5833333333333333
5,5,0.4,0.9090909090909091,0.3333333333333333
6,1,0.6,0.7592592592592593,0.6887426900584795
6,2,0.6666666666666666,1.0,1.0
6,3,0.2857142857142857,0.7619047619047619,0.5833333333333334
6,4,0.5,0.5714285714285714,0.4999310729076319
6,5,0.5,0.6833333333333333,0.38596491228070173
7,1,0.3333333333333333,0.6190476190476191,0.2847222222222222
7,2,0.4444444444444444,0.8333333333333333,0.7435897435897436
7,3,0.3333333333333333,0.5777777777777778,0.42666666666666664
7,4,0.5714285714285714,0.9761904761904762,0.8333333333333333
7,5,0.8,0.7745098039215685,0.7743055555555555
8,1,0.4444444444444444,0.6625,0.6026315789473684
8,2,0.2857142857142857,0.5666666666666667,0.20276292335115864
8,3,0.4,0.8833333333333333,0.6666666666666666
8,4,0.3333333333333333,0.3421052631578948,0.2398705096073517
8,5,0.8333333333333334,0.9666666666666667,0.8766666666666667
9,1,0.6666666666666666,0.7301587301587302,0.4444444444444444
9,2,0.46153846153846156,0.525,0.4602582176595334
9,3,0.36363636363636365,0.9761904761904762,0.8333333333333333
9,4,0.4444444444444444,0.7,0.38888888888888884
9,5,0.8,0.7833333333333333,0.7291666666666666
10,1,0.5,0.7777777777777777,0.5380952380952381
10,2,0.3333333333333333,0.6666666666666666,0.31666666666666665
10,3,0.2,0.4444444444444444,0.37194444444444447
10,4,0.8333333333333334,0.9313725490196079,0.9102564102564102
10,5,0.5,0.7333333333333333,0.6111111111111112
