rep,fold,f1,roc_auc,pr_auc
1,1,0.46153846153846156,0.8984375,0.550595238095238
1,2,0.2857142857142857,0.7741935483870968,0.5606211180124223
1,3,0.0,0.5147058823529411,0.08846153846153847
1,4,0.2,0.8088235294117647,0.5666666666666667
1,5,0.16666666666666666,0.8529411764705882,0.5833333333333334
2,1,0.15384615384615385,0.7058823529411764,0.2976190476190476
2,2,0.3076923076923077,0.71875,0.591025641025641
2,3,0.2222222222222222,0.838235294117647,0.3333333333333333
2,4,0.3076923076923077,0.8828125,0.5825757575757575
2,5,0.2222222222222222,0.7979797979797979,0.4841269841269841
3,1,0.18181818181818182,0.6868686868686869,0.21944444444444444
3,2,0.16666666666666666,0.6060606060606061,0.4107142857142857
3,3,0.2222222222222222,0.8970588235294118,0.6111111111111112
3,4,0.46153846153846156,0.9140625,0.7589285714285714
3,5,0.16666666666666666,0.8181818181818182,0.4772727272727273
4,1,0.25,1.0,1.0
4,2,0.6666666666666666,0.984375,0.8875
4,3,0.0,0.7205882352941175,0.13333333333333333
4,4,0.15384615384615385,0.6640625,0.26248751248751245
4,5,0.14285714285714285,0.6171875,0.24642857142857144
5,1,0.3333333333333333,0.896774193548387,0.6547979797979798
5,2,0.3076923076923077,0.75,0.47435897435897434
5,3,0.18181818181818182,0.7941176470588236,0.20192307692307693
5,4,0.18181818181818182,0.6764705882352942,0.5416666666666666
5,5,0.2,0.8529411764705882,0.5833333333333334
6,1,0.5454545454545454,0.9296875,0.8269230769230769
6,2,0.4,0.9705882352941176,0.5833333333333333
6,3,0.18181818181818182,0.8529411764705882,0.5833333333333334
6,4,0.0,0.546875,0.1418841575091575
6,5,0.16666666666666666,0.6161616161616161,0.20114942528735633
7,1,0.15384615384615385,0.7734375,0.4245754245754246
7,2,0.46153846153846156,0.9375,0.8333333333333333
7,3,0.36363636363636365,0.9292929292929293,0.7666666666666666
7,4,0.16666666666666666,0.6176470588235294,0.14166666666666666
7,5,0.0,0.3823529411764706,0.06666666666666667
8,1,0.14285714285714285,0.7575757575757576,0.2846153846153846
8,2,0.2222222222222222,1.0,1.0
8,3,0.5454545454545454,0.8709677419354838,0.550250626566416
8,4,0.0,0.6911764705882353,0.12237762237762238
8,5,0.3076923076923077,0.703125,0.5035714285714286
9,1,0.2857142857142857,0.8676470588235294,0.2777777777777778
9,2,0.46153846153846156,1.0,1.0
9,3,0.26666666666666666,0.6064516129032258,0.49939668174962293
9,4,0.15384615384615385,0.8088235294117647,0.24358974358974358
9,5,0.0,0.696969696969697,0.15974765974765975
10,1,0.4,0.9375,0.8333333333333333
10,2,0.0,0.47058823529411764,0.08116883116883117
10,3,0.2857142857142857,0.8383838383838383,0.4909090909090909
10,4,0.3076923076923077,0.7890625,0.5303030303030303
10,5,0.18181818181818182,0.7794117647058824,0.3125
