rep,fold,f1,roc_auc,pr_auc
1,1,0.375,0.7734375,0.38846153846153847
1,2,0.2857142857142857,0.7225806451612903,0.27
1,3,0.0,0.6911764705882353,0.125
1,4,0.3333333333333333,0.8529411764705882,0.26666666666666666
1,5,0.18181818181818182,0.8088235294117646,0.20833333333333331
2,1,0.125,0.7058823529411765,0.13392857142857142
2,2,0.3333333333333333,0.765625,0.5156926406926406
2,3,0.36363636363636365,0.8970588235294117,0.30952380952380953
2,4,0.3333333333333333,0.7734375,0.24734848484848482
2,5,0.2222222222222222,0.7070707070707071,0.26691729323308266
3,1,0.2,0.6060606060606061,0.2434782608695652
3,2,0.2857142857142857,0.7171717171717171,0.2253968253968254
3,3,0.25,0.8529411764705882,0.26666666666666666
3,4,0.4,0.8125,0.4154040404040404
3,5,0.15384615384615385,0.7575757575757577,0.19308469308469312
4,1,0.25,0.9714285714285714,0.5
4,2,0.6153846153846154,0.96875,0.6791666666666667
4,3,0.0,0.5294117647058824,0.08333333333333333
4,4,0.2,0.765625,0.27346491228070174
4,5,0.23529411764705882,0.6015625,0.1607297228578693
5,1,0.5454545454545454,0.8838709677419354,0.4633333333333334
5,2,0.3076923076923077,0.765625,0.2936572199730094
5,3,0.18181818181818182,0.6176470588235294,0.28703703703703703
5,4,0.16666666666666666,0.6617647058823529,0.21014492753623187
5,5,0.15384615384615385,0.7058823529411764,0.12698412698412698
6,1,0.46153846153846156,0.953125,0.85
6,2,0.25,0.8235294117647058,0.25
6,3,0.15384615384615385,0.7352941176470589,0.18382352941176472
6,4,0.14285714285714285,0.53125,0.14051467855815683
6,5,0.3333333333333333,0.7575757575757575,0.2222222222222222
7,1,0.2857142857142857,0.7578125,0.2451923076923077
7,2,0.42857142857142855,0.921875,0.5700757575757576
7,3,0.2222222222222222,0.6565656565656566,0.2545893719806763
7,4,0.15384615384615385,0.6176470588235294,0.11011904761904762
7,5,0.2,0.6470588235294118,0.11513157894736842
8,1,0.26666666666666666,0.7575757575757577,0.19308469308469312
8,2,0.18181818181818182,0.9428571428571428,0.3333333333333333
8,3,0.36363636363636365,0.8258064516129032,0.5854901960784313
8,4,0.0,0.5588235294117647,0.09090909090909091
8,5,0.46153846153846156,0.7734375,0.32056159420289854
9,1,0.25,0.8823529411764706,0.29166666666666663
9,2,0.25,0.8181818181818181,0.4415204678362573
9,3,0.42857142857142855,0.7354838709677419,0.3053968253968254
9,4,0.18181818181818182,0.7647058823529412,0.16025641025641024
9,5,0.18181818181818182,0.6363636363636364,0.15000000000000002
10,1,0.4,0.78125,0.270734126984127
10,2,0.0,0.7205882352941178,0.13247863247863248
10,3,0.6,0.9191919191919192,0.44285714285714284
10,4,0.14285714285714285,0.6484375,0.2107142857142857
10,5,0.16666666666666666,0.7647058823529412,0.16025641025641024
