rep,fold,f1,roc_auc,pr_auc
1,1,0.36363636363636365,0.828125,0.3839285714285714
1,2,0.2222222222222222,0.7483870967741936,0.28777777777777774
1,3,0.3333333333333333,0.8382352941176471,0.5769230769230769
1,4,0.4444444444444444,0.9558823529411764,0.5
1,5,0.5,0.926470588235294,0.41666666666666663
2,1,0.2,0.823529411764706,0.3269230769230769
2,2,0.5454545454545454,0.8828125,0.4714285714285714
2,3,0.4,0.9117647058823529,0.3333333333333333
2,4,0.2857142857142857,0.8125,0.36388888888888893
2,5,0.4,0.8787878787878788,0.5285714285714286
3,1,0.0,0.7171717171717171,0.17456427015250545
3,2,0.4,0.8181818181818181,0.5032679738562091
3,3,0.3333333333333333,0.9117647058823529,0.3333333333333333
3,4,0.6,0.890625,0.5458333333333333
3,5,0.3076923076923077,0.8383838383838383,0.33333333333333337
4,1,0.4,0.9714285714285714,0.5
4,2,0.5,0.9375,0.7041666666666666
4,3,0.0,0.7352941176470588,0.1388888888888889
4,4,0.4444444444444444,0.8203125,0.4806818181818182
4,5,0.3333333333333333,0.7578125,0.25
5,1,0.46153846153846156,0.9032258064516129,0.6131313131313132
5,2,0.4,0.8203125,0.34794372294372294
5,3,0.5,0.823529411764706,0.3269230769230769
5,4,0.18181818181818182,0.7794117647058824,0.3125
5,5,0.4,0.8676470588235294,0.2777777777777778
6,1,0.6666666666666666,0.9375,0.5902777777777778
6,2,0.0,0.6617647058823529,0.11437908496732026
6,3,0.2857142857142857,0.8823529411764707,0.3611111111111111
6,4,0.36363636363636365,0.84375,0.3964285714285714
6,5,0.4,0.8181818181818182,0.26587301587301587
7,1,0.5,0.8515625,0.3540064102564103
7,2,0.6666666666666666,0.9765625,0.8928571428571428
7,3,0.2222222222222222,0.7777777777777779,0.45604395604395603
7,4,0.0,0.6764705882352942,0.11805555555555555
7,5,0.3333333333333333,0.7941176470588236,0.20192307692307693
8,1,0.5,0.8181818181818181,0.3366013071895425
8,2,0.2222222222222222,0.8,0.125
8,3,0.25,0.8709677419354839,0.521031746031746
8,4,0.3333333333333333,0.8676470588235294,0.5909090909090909
8,5,0.5,0.890625,0.6666666666666666
9,1,0.25,0.7058823529411764,0.14215686274509803
9,2,0.4,0.888888888888889,0.6324786324786325
9,3,0.6,0.8516129032258064,0.5073717948717948
9,4,0.0,0.7058823529411764,0.12878787878787878
9,5,0.4444444444444444,0.8888888888888888,0.4242424242424242
10,1,0.3076923076923077,0.8046875,0.31245421245421245
10,2,0.4,0.8676470588235294,0.5909090909090909
10,3,0.6666666666666666,0.9696969696969697,0.7555555555555555
10,4,0.25,0.8125,0.33207070707070707
10,5,0.25,0.6617647058823529,0.14761904761904762
