rep,fold,f1,roc_auc,pr_auc
1,1,0.6,0.8916256157635468,0.8338744588744589
1,2,0.35294117647058826,0.7222222222222223,0.31697649572649567
1,3,0.5714285714285714,0.8944444444444444,0.6352564102564102
1,4,0.15384615384615385,0.7777777777777779,0.24314574314574317
1,5,0.4,0.864516129032258,0.6282142857142857
2,1,0.5714285714285714,0.9419354838709677,0.8369230769230769
2,2,0.42105263157894735,0.8303571428571429,0.5566780533063427
2,3,0.4,0.7192118226600985,0.38579855121208506
2,4,0.0,0.6764705882352942,0.11666666666666667
2,5,0.625,0.9548387096774192,0.7416666666666667
3,1,0.2857142857142857,0.9411764705882353,0.41666666666666663
3,2,0.5882352941176471,0.8839285714285714,0.765719696969697
3,3,0.5,0.8555555555555556,0.5486111111111112
3,4,0.4444444444444444,0.8444444444444443,0.6143790849673202
3,5,0.3076923076923077,0.7161290322580645,0.37370370370370365
4,1,0.38095238095238093,0.7534722222222222,0.5738250175750176
4,2,0.6153846153846154,0.9375,0.7361111111111112
4,3,0.47058823529411764,0.8611111111111112,0.6993055555555555
4,4,0.5,0.9411764705882353,0.45
4,5,0.26666666666666666,0.8585858585858586,0.4555555555555555
5,1,0.47058823529411764,0.8903225806451613,0.6666666666666667
5,2,0.4444444444444444,0.921875,0.5238095238095238
5,3,0.3333333333333333,0.7421875,0.2746212121212121
5,4,0.5454545454545454,0.8482142857142857,0.8108465608465608
5,5,0.2857142857142857,0.788888888888889,0.37916666666666665
6,1,0.5,0.8768472906403941,0.7318523581681475
6,2,0.6666666666666666,0.8719211822660098,0.520218087234894
6,3,0.2,0.7265625,0.2851190476190476
6,4,0.42105263157894735,0.8055555555555556,0.7198994252873563
6,5,0.18181818181818182,0.8383838383838383,0.33164983164983164
7,1,0.6153846153846154,0.8944444444444445,0.7262426900584795
7,2,0.4,0.7722222222222221,0.41708754208754206
7,3,0.2222222222222222,0.6888888888888889,0.33342864923747273
7,4,0.5333333333333333,0.9161290322580646,0.75
7,5,0.46153846153846156,0.90625,0.675595238095238
8,1,0.4,0.8666666666666667,0.7712418300653594
8,2,0.5,0.8277777777777777,0.5881944444444445
8,3,0.46153846153846156,0.8125,0.5191666666666667
8,4,0.2,0.8125,0.2816849816849817
8,5,0.5333333333333333,0.896551724137931,0.7159340659340658
9,1,0.42105263157894735,0.8666666666666667,0.6123015873015872
9,2,0.3333333333333333,0.7555555555555555,0.3984566158479202
9,3,0.5263157894736842,0.8555555555555555,0.490172735760971
9,4,0.6666666666666666,0.9166666666666667,0.7583333333333333
9,5,0.0,0.5858585858585859,0.12831908831908834
10,1,0.4444444444444444,0.9375,0.7784090909090909
10,2,0.4444444444444444,0.7589285714285714,0.4381359649122807
10,3,0.46153846153846156,0.9375,0.7784090909090909
10,4,0.16666666666666666,0.6967741935483871,0.3820634920634921
10,5,0.6153846153846154,0.938888888888889,0.7311868686868687
