rep,fold,f1,roc_auc,pr_auc
1,1,0.5714285714285714,0.8522167487684729,0.6210884353741497
1,2,0.47058823529411764,0.7555555555555555,0.41762935059081097
1,3,0.5714285714285714,0.8166666666666667,0.6224310776942356
1,4,0.42857142857142855,0.898989898989899,0.5535714285714286
1,5,0.46153846153846156,0.6903225806451613,0.5240100250626567
2,1,0.7142857142857143,1.0,1.0
2,2,0.6666666666666666,0.8392857142857142,0.5549267399267399
2,3,0.4,0.5714285714285715,0.4317171312969632
2,4,0.0,0.5294117647058824,0.08496732026143791
2,5,0.5882352941176471,0.9612903225806452,0.7961904761904761
3,1,0.3076923076923077,0.9411764705882353,0.41666666666666663
3,2,0.6,0.8169642857142857,0.7658106960950763
3,3,0.5333333333333333,0.7444444444444445,0.5047182349813929
3,4,0.6666666666666666,0.8888888888888888,0.5819716775599129
3,5,0.375,0.7032258064516129,0.3933333333333333
4,1,0.5833333333333334,0.6944444444444444,0.5620233592737883
4,2,0.47058823529411764,0.96875,0.6791666666666667
4,3,0.47058823529411764,0.7555555555555555,0.6665343915343914
4,4,0.5,0.9558823529411764,0.5
4,5,0.46153846153846156,0.9393939393939394,0.4777777777777778
5,1,0.5555555555555556,0.9419354838709678,0.596190476190476
5,2,0.46153846153846156,0.890625,0.7463235294117647
5,3,0.4,0.6484375,0.32280701754385965
5,4,0.5714285714285714,0.7633928571428572,0.6469382197323373
5,5,0.47058823529411764,0.7833333333333333,0.42731481481481476
6,1,0.5555555555555556,0.7881773399014778,0.7849206349206348
6,2,0.6,0.8719211822660098,0.6117913832199546
6,3,0.3333333333333333,0.609375,0.2654761904761905
6,4,0.5882352941176471,0.8388888888888889,0.816017316017316
6,5,0.3333333333333333,0.8080808080808081,0.31666666666666665
7,1,0.5333333333333333,0.8111111111111111,0.7532327586206896
7,2,0.5555555555555556,0.7444444444444445,0.43218954248366015
7,3,0.4,0.6944444444444444,0.46296650717703347
7,4,0.5555555555555556,0.935483870967742,0.5977777777777777
7,5,0.46153846153846156,0.7578125,0.7785714285714286
8,1,0.42105263157894735,0.8333333333333333,0.6855263157894737
8,2,0.5,0.7666666666666666,0.5299707602339181
8,3,0.4,0.8046875,0.7844827586206897
8,4,0.5454545454545454,0.6875,0.2990546218487395
8,5,0.6666666666666666,0.8719211822660099,0.7454390847247989
9,1,0.5882352941176471,0.8777777777777778,0.6656746031746031
9,2,0.42857142857142855,0.7055555555555555,0.49662309368191715
9,3,0.5263157894736842,0.8444444444444444,0.4549603174603175
9,4,0.6666666666666666,0.8166666666666668,0.6845704948646124
9,5,0.2857142857142857,0.6161616161616161,0.19315476190476188
10,1,0.5,0.9140625,0.475
10,2,0.5882352941176471,0.6964285714285714,0.4957477435418612
10,3,0.42857142857142855,0.8671875,0.6222222222222222
10,4,0.375,0.7419354838709677,0.5047619047619047
10,5,0.625,0.9055555555555556,0.8208333333333333
