rep,fold,f1,roc_auc,pr_auc
1,1,0.6666666666666666,0.9310344827586207,0.8588235294117645
1,2,0.46153846153846156,0.75,0.3824074074074074
1,3,0.75,0.9444444444444444,0.6607142857142857
1,4,0.3333333333333333,0.7676767676767676,0.1986161986161986
1,5,0.36363636363636365,0.6774193548387097,0.4375130616509927
2,1,0.6153846153846154,0.8709677419354839,0.6476190476190475
2,2,0.5882352941176471,0.8125,0.5356481481481481
2,3,0.5,0.7339901477832512,0.3847196454339311
2,4,0.2,0.8088235294117646,0.20833333333333331
2,5,0.7142857142857143,0.9741935483870967,0.885
3,1,0.3333333333333333,0.9411764705882353,0.41666666666666663
3,2,0.8235294117647058,0.9642857142857143,0.8993055555555556
3,3,0.5,0.7111111111111111,0.5122605363984674
3,4,0.625,0.9277777777777778,0.7973544973544974
3,5,0.3076923076923077,0.7290322580645161,0.2721595795508839
4,1,0.6363636363636364,0.8229166666666666,0.7007435811315122
4,2,0.6153846153846154,0.984375,0.8875
4,3,0.5333333333333333,0.7833333333333333,0.6046626984126984
4,4,0.5714285714285714,0.9411764705882353,0.45
4,5,0.3076923076923077,0.7373737373737373,0.3194444444444444
5,1,0.5333333333333333,0.8516129032258064,0.7233333333333334
5,2,0.5454545454545454,0.9453125,0.75
5,3,0.4,0.7421875,0.32179487179487176
5,4,0.631578947368421,0.8169642857142857,0.6551113816738816
5,5,0.5333333333333333,0.8444444444444446,0.6061507936507936
6,1,0.7692307692307693,0.7832512315270936,0.7580463015245624
6,2,0.631578947368421,0.8719211822660099,0.543596681096681
6,3,0.2,0.7265625,0.29722222222222217
6,4,0.5,0.8944444444444445,0.7916666666666666
6,5,0.5,0.9191919191919192,0.5873015873015872
7,1,0.625,0.8833333333333334,0.4981481481481481
7,2,0.5,0.8222222222222222,0.5030756280756281
7,3,0.46153846153846156,0.7,0.3969156447417317
7,4,0.5714285714285714,0.8903225806451612,0.5633333333333334
7,5,0.5454545454545454,0.7890625,0.782258064516129
8,1,0.6,0.9,0.6602564102564102
8,2,0.5714285714285714,0.8666666666666666,0.5992063492063492
8,3,0.4,0.8828125,0.8026315789473684
8,4,0.25,0.703125,0.27257799671592775
8,5,0.7692307692307693,0.8226600985221675,0.7902837902837903
9,1,0.5714285714285714,0.8611111111111112,0.6823593073593073
9,2,0.5333333333333333,0.8055555555555556,0.4641131815044859
9,3,0.5882352941176471,0.888888888888889,0.5259259259259259
9,4,0.6666666666666666,0.8555555555555556,0.805316091954023
9,5,0.2222222222222222,0.6868686868686869,0.16374269005847952
10,1,0.5333333333333333,0.953125,0.7291666666666666
10,2,0.5882352941176471,0.7633928571428571,0.4614606429834134
10,3,0.5714285714285714,0.8984375,0.44047619047619047
10,4,0.16666666666666666,0.8193548387096774,0.4605050505050505
10,5,0.8333333333333334,0.9055555555555556,0.851010101010101
