rep,fold,f1,roc_auc,pr_auc
1,1,0.7,0.9655172413793103,0.8885281385281385
1,2,0.4,0.7722222222222221,0.4114278752436647
1,3,0.7142857142857143,0.8999999999999999,0.6084267040149394
1,4,0.2857142857142857,0.696969696969697,0.1606060606060606
1,5,0.2857142857142857,0.6967741935483871,0.489037037037037
2,1,0.5333333333333333,0.8451612903225806,0.4634920634920635
2,2,0.5263157894736842,0.7633928571428572,0.4536122311827957
2,3,0.5555555555555556,0.7783251231527093,0.4104308390022676
2,4,0.0,0.7058823529411764,0.12698412698412698
2,5,0.6153846153846154,0.9548387096774194,0.8333333333333333
3,1,0.2857142857142857,0.9264705882352942,0.3666666666666667
3,2,0.7777777777777778,0.9330357142857143,0.8065476190476191
3,3,0.42857142857142855,0.6722222222222222,0.34356261022927687
3,4,0.6666666666666666,0.9055555555555556,0.7202380952380951
3,5,0.2222222222222222,0.7419354838709677,0.27549019607843134
4,1,0.5833333333333334,0.7569444444444444,0.6292141542353767
4,2,0.6666666666666666,0.953125,0.6220238095238095
4,3,0.5333333333333333,0.7388888888888889,0.38253968253968257
4,4,0.4444444444444444,0.926470588235294,0.41666666666666663
4,5,0.2,0.7575757575757576,0.2933723196881092
5,1,0.5333333333333333,0.8580645161290323,0.7343434343434343
5,2,0.4,0.890625,0.5596590909090909
5,3,0.6,0.75,0.39166666666666666
5,4,0.5263157894736842,0.7991071428571428,0.553753591954023
5,5,0.5,0.8,0.3871845746845747
6,1,0.6153846153846154,0.7783251231527093,0.6099439775910365
6,2,0.5263157894736842,0.8226600985221675,0.4256646248242887
6,3,0.5,0.75,0.3794642857142857
6,4,0.5333333333333333,0.8777777777777778,0.6978335991493886
6,5,0.36363636363636365,0.8383838383838385,0.33882783882783885
7,1,0.625,0.8666666666666666,0.4565527065527065
7,2,0.4,0.7722222222222223,0.46738841504287726
7,3,0.375,0.65,0.27798456024262475
7,4,0.5714285714285714,0.9032258064516129,0.5800000000000001
7,5,0.6666666666666666,0.7734375,0.6
8,1,0.47619047619047616,0.8555555555555555,0.5649331662489557
8,2,0.625,0.8555555555555555,0.48289760348583877
8,3,0.46153846153846156,0.828125,0.5097744360902255
8,4,0.4444444444444444,0.7734375,0.32916666666666666
8,5,0.5454545454545454,0.8177339901477833,0.7126984126984126
9,1,0.46153846153846156,0.8166666666666667,0.6177248677248677
9,2,0.5714285714285714,0.85,0.5224358974358975
9,3,0.5555555555555556,0.8222222222222222,0.38270202020202027
9,4,0.6666666666666666,0.8500000000000001,0.8368055555555556
9,5,0.2,0.6969696969696969,0.16566113624937157
10,1,0.5333333333333333,0.90625,0.6846590909090909
10,2,0.5882352941176471,0.7455357142857143,0.4302900326797386
10,3,0.3333333333333333,0.765625,0.27678571428571425
10,4,0.42857142857142855,0.864516129032258,0.46869796869796865
10,5,0.6666666666666666,0.8444444444444446,0.5731837606837606
