rep,fold,f1,roc_auc,pr_auc
1,1,0.5555555555555556,0.8916256157635469,0.7704365079365079
1,2,0.5882352941176471,0.888888888888889,0.509090909090909
1,3,0.4,0.7277777777777779,0.47642450142450143
1,4,0.36363636363636365,0.7676767676767676,0.3232323232323232
1,5,0.5714285714285714,0.8193548387096774,0.6247619047619047
2,1,0.42857142857142855,0.8064516129032258,0.3716791979949874
2,2,0.625,0.8392857142857143,0.7490872352285396
2,3,0.6666666666666666,0.8472906403940886,0.5506802721088435
2,4,0.2222222222222222,0.7941176470588236,0.31666666666666665
2,5,0.42857142857142855,0.7806451612903227,0.6916256157635468
3,1,0.3076923076923077,0.8823529411764706,0.26785714285714285
3,2,0.7368421052631579,0.9374999999999999,0.8972222222222223
3,3,0.5454545454545454,0.7722222222222221,0.4280786507331129
3,4,0.42857142857142855,0.7777777777777778,0.6484036796536796
3,5,0.36363636363636365,0.7548387096774193,0.42384370015948963
4,1,0.6086956521739131,0.7534722222222222,0.5960143657512078
4,2,0.5,0.8125,0.5191666666666667
4,3,0.5714285714285714,0.8055555555555556,0.5453703703703704
4,4,0.36363636363636365,0.9117647058823529,0.625
4,5,0.25,0.8484848484848484,0.273015873015873
5,1,0.46153846153846156,0.8903225806451613,0.5436507936507936
5,2,0.25,0.7265625,0.24558865047995482
5,3,0.5454545454545454,0.84375,0.4692982456140351
5,4,0.5555555555555556,0.84375,0.6871212121212121
5,5,0.5555555555555556,0.8388888888888889,0.5745726495726495
6,1,0.5,0.8226600985221675,0.6837490551776266
6,2,0.3333333333333333,0.6847290640394088,0.34957759818440926
6,3,0.5454545454545454,0.8359375,0.4109649122807017
6,4,0.7058823529411765,0.9500000000000001,0.8501683501683501
6,5,0.4,0.8080808080808081,0.3555555555555555
7,1,0.7142857142857143,0.9111111111111112,0.6343253968253969
7,2,0.47058823529411764,0.6833333333333333,0.40376845376845377
7,3,0.42857142857142855,0.788888888888889,0.38177933177933177
7,4,0.5,0.8903225806451613,0.7393939393939393
7,5,0.36363636363636365,0.7578125,0.46499999999999997
8,1,0.5263157894736842,0.8611111111111112,0.5203703703703704
8,2,0.75,0.9500000000000001,0.6916666666666668
8,3,0.4,0.7578125,0.4655448717948718
8,4,0.5,0.8125,0.44426406926406925
8,5,0.18181818181818182,0.7783251231527093,0.4772806558520844
9,1,0.5454545454545454,0.9166666666666666,0.7139601139601139
9,2,0.5714285714285714,0.9055555555555554,0.7754901960784314
9,3,0.5263157894736842,0.85,0.4568033273915627
9,4,0.46153846153846156,0.7166666666666667,0.6163906142167012
9,5,0.36363636363636365,0.7171717171717171,0.23792270531400966
10,1,0.5714285714285714,0.9296875,0.7182539682539683
10,2,0.7058823529411765,0.8705357142857142,0.639702380952381
10,3,0.0,0.5546875,0.14285714285714285
10,4,0.7272727272727273,0.9548387096774194,0.8333333333333333
10,5,0.46153846153846156,0.7222222222222223,0.3680367018602313
