rep,fold,f1,roc_auc,pr_auc
1,1,0.625,0.9162561576354681,0.8380102040816326
1,2,0.625,0.8777777777777779,0.46957671957671954
1,3,0.5,0.8944444444444444,0.6028490028490029
1,4,0.4,0.7777777777777777,0.23660130718954248
1,5,0.5,0.7870967741935484,0.5626143790849674
2,1,0.5,0.8774193548387096,0.4321789321789321
2,2,0.6666666666666666,0.8571428571428572,0.7359486102133161
2,3,0.6666666666666666,0.8177339901477833,0.4465926930212645
2,4,0.25,0.8529411764705883,0.2361111111111111
2,5,0.5,0.864516129032258,0.6238095238095238
3,1,0.36363636363636365,0.8970588235294117,0.29166666666666663
3,2,0.7,0.9151785714285714,0.8045138888888889
3,3,0.6,0.7666666666666666,0.4748755672668716
3,4,0.5,0.9277777777777778,0.7342592592592592
3,5,0.4444444444444444,0.8451612903225807,0.456045751633987
4,1,0.6363636363636364,0.84375,0.6444176194176193
4,2,0.5454545454545454,0.90625,0.5560897435897436
4,3,0.5,0.8166666666666667,0.5037878787878788
4,4,0.5714285714285714,0.9705882352941176,0.75
4,5,0.3333333333333333,0.8484848484848485,0.34523809523809523
5,1,0.46153846153846156,0.8838709677419354,0.47090909090909083
5,2,0.25,0.828125,0.31858974358974357
5,3,0.5454545454545454,0.796875,0.3775974025974026
5,4,0.6666666666666666,0.8794642857142857,0.7675865800865801
5,5,0.6666666666666666,0.9055555555555556,0.6472222222222223
6,1,0.5454545454545454,0.8620689655172413,0.6984126984126984
6,2,0.35294117647058826,0.7241379310344829,0.3370703544575725
6,3,0.5454545454545454,0.765625,0.31547619047619047
6,4,0.8,0.9722222222222222,0.8773809523809524
6,5,0.5,0.8686868686868687,0.41025641025641024
7,1,0.7142857142857143,0.9388888888888889,0.6496031746031746
7,2,0.5714285714285714,0.8388888888888889,0.5544289645682834
7,3,0.46153846153846156,0.7888888888888889,0.3896464646464647
7,4,0.46153846153846156,0.864516129032258,0.5226373626373626
7,5,0.5,0.7734375,0.36363636363636365
8,1,0.625,0.8944444444444444,0.5195156695156695
8,2,0.7058823529411765,0.9388888888888889,0.6218253968253968
8,3,0.4444444444444444,0.859375,0.5083333333333333
8,4,0.5454545454545454,0.8359375,0.45
8,5,0.2222222222222222,0.7832512315270936,0.40113378684807255
9,1,0.6666666666666666,0.9,0.8026315789473684
9,2,0.5333333333333333,0.8888888888888888,0.6582722832722833
9,3,0.5882352941176471,0.8111111111111111,0.37863756613756616
9,4,0.5,0.8333333333333333,0.6027777777777777
9,5,0.4444444444444444,0.8484848484848485,0.3492063492063492
10,1,0.7272727272727273,1.0,1.0
10,2,0.6666666666666666,0.8526785714285714,0.5715277777777777
10,3,0.0,0.625,0.163997113997114
10,4,0.7272727272727273,0.9483870967741935,0.6544444444444444
10,5,0.46153846153846156,0.8111111111111111,0.3938496144378497
