rep,fold,f1,roc_auc,pr_auc
1,1,0.75,0.960591133004926,0.9081632653061225
1,2,0.5882352941176471,0.8777777777777779,0.5666666666666667
1,3,0.5882352941176471,0.8611111111111112,0.6573232323232323
1,4,0.2857142857142857,0.7575757575757576,0.2162309368191721
1,5,0.2857142857142857,0.7225806451612903,0.4171904024767802
2,1,0.5,0.8903225806451613,0.5712087912087913
2,2,0.5333333333333333,0.7723214285714286,0.5800595238095239
2,3,0.6666666666666666,0.8226600985221675,0.45858854740842314
2,4,0.4444444444444444,0.9117647058823529,0.39285714285714285
2,5,0.46153846153846156,0.7870967741935484,0.6097243107769423
3,1,0.36363636363636365,0.8970588235294117,0.29166666666666663
3,2,0.7,0.9196428571428572,0.7488095238095239
3,3,0.3076923076923077,0.7666666666666667,0.3476190476190476
3,4,0.6666666666666666,0.8833333333333334,0.7412878787878787
3,5,0.5,0.8129032258064515,0.6532051282051282
4,1,0.6666666666666666,0.84375,0.6814732660127397
4,2,0.5,0.8515625,0.6166666666666667
4,3,0.625,0.8944444444444444,0.7978354978354978
4,4,0.36363636363636365,0.9117647058823529,0.3333333333333333
4,5,0.25,0.797979797979798,0.3074074074074074
5,1,0.46153846153846156,0.8516129032258065,0.4663003663003663
5,2,0.36363636363636365,0.7734375,0.2552521008403361
5,3,0.5454545454545454,0.8359375,0.5726190476190476
5,4,0.7058823529411765,0.8794642857142858,0.7146355472013367
5,5,0.5263157894736842,0.8888888888888888,0.681335282651072
6,1,0.6153846153846154,0.8768472906403941,0.6555555555555554
6,2,0.5555555555555556,0.7980295566502462,0.45623582766439913
6,3,0.46153846153846156,0.7734375,0.3058712121212121
6,4,0.5555555555555556,0.9055555555555557,0.6075396825396825
6,5,0.4444444444444444,0.8888888888888888,0.4722222222222222
7,1,0.8,0.9611111111111111,0.7861111111111111
7,2,0.35294117647058826,0.7055555555555556,0.3604257627477442
7,3,0.42857142857142855,0.7944444444444445,0.49909090909090914
7,4,0.6666666666666666,0.8903225806451613,0.5199999999999999
7,5,0.46153846153846156,0.8125,0.49047619047619045
8,1,0.5454545454545454,0.8666666666666667,0.48366402116402113
8,2,0.75,0.9611111111111111,0.8218253968253967
8,3,0.5,0.8359375,0.5347744360902256
8,4,0.4444444444444444,0.828125,0.5321428571428571
8,5,0.3333333333333333,0.7980295566502463,0.5562030075187969
9,1,0.4,0.8055555555555556,0.6033834586466165
9,2,0.5882352941176471,0.8722222222222222,0.4924242424242424
9,3,0.631578947368421,0.8666666666666667,0.536075036075036
9,4,0.6153846153846154,0.8555555555555556,0.7156862745098038
9,5,0.3333333333333333,0.8282828282828284,0.29365079365079366
10,1,0.5714285714285714,0.9921875,0.95
10,2,0.7058823529411765,0.8705357142857143,0.6055735930735932
10,3,0.42857142857142855,0.7265625,0.2434782608695652
10,4,0.46153846153846156,0.9096774193548387,0.5422222222222222
10,5,0.46153846153846156,0.7777777777777778,0.4786732874968169
