rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.3359375,0.10018315018315019
1,2,0.5,0.84375,0.6571428571428571
1,3,0.5714285714285714,0.7999999999999999,0.5859617682198328
1,4,0.5714285714285714,1.0,1.0
1,5,0.3157894736842105,0.5270935960591132,0.45455035438057506
2,1,0.3333333333333333,0.43888888888888883,0.4329180452164323
2,2,0.42857142857142855,0.567741935483871,0.3011111111111111
2,3,0.16666666666666666,0.6666666666666666,0.20587142326272762
2,4,0.5,0.7980295566502463,0.6117687074829932
2,5,0.5714285714285714,0.9852941176470588,0.8333333333333333
3,1,0.36363636363636365,0.5390625,0.4294334975369458
3,2,0.36363636363636365,0.9292929292929293,0.6666666666666666
3,3,0.625,0.8944444444444444,0.6916666666666667
3,4,0.3333333333333333,0.9705882352941176,0.5833333333333333
3,5,0.18181818181818182,0.4330357142857143,0.30608660130718957
4,1,0.2222222222222222,0.7474747474747474,0.3073593073593074
4,2,0.5555555555555556,0.7276785714285714,0.6800627646702965
4,3,0.0,0.2571428571428571,0.037037037037037035
4,4,0.5,0.7055555555555555,0.5412698412698412
4,5,0.42857142857142855,0.6,0.2932539682539682
5,1,0.3333333333333333,0.6258064516129033,0.5030084033613446
5,2,0.625,0.729064039408867,0.6204643954355936
5,3,0.3333333333333333,0.5555555555555555,0.3317632850241546
5,4,0.25,0.7272727272727273,0.22323232323232323
5,5,0.3076923076923077,0.9411764705882353,0.6666666666666666
6,1,0.16666666666666666,0.4516129032258065,0.16625452782293718
6,2,0.6153846153846154,0.8111111111111111,0.5702380952380952
6,3,0.7142857142857143,0.9935483870967742,0.9666666666666666
6,4,0.2857142857142857,0.5172413793103448,0.42996031746031743
6,5,0.0,,-0.0
7,1,0.15384615384615385,0.4609375,0.3365238336713996
7,2,0.47058823529411764,0.6830357142857143,0.5952756892230576
7,3,0.4444444444444444,0.9411764705882353,0.6666666666666666
7,4,0.6153846153846154,0.8611111111111112,0.6107323232323233
7,5,0.2222222222222222,0.35353535353535354,0.10714285714285714
8,1,0.5,0.8111111111111111,0.6031746031746031
8,2,0.46153846153846156,0.7055555555555555,0.6161089961931476
8,3,0.16666666666666666,0.484375,0.14328703703703705
8,4,0.18181818181818182,0.3359375,0.32062211981566824
8,5,0.6666666666666666,0.9494949494949495,0.5555555555555556
9,1,0.4,0.5944444444444444,0.586405529953917
9,2,0.5714285714285714,0.9852941176470588,0.8333333333333333
9,3,0.3076923076923077,0.7870967741935484,0.5716833890746935
9,4,0.2222222222222222,0.5588235294117647,0.19999999999999998
9,5,0.47058823529411764,0.6071428571428572,0.5012400049975012
10,1,0.0,0.35294117647058826,0.06274509803921569
10,2,0.42857142857142855,0.6600985221674877,0.5567560357476324
10,3,0.4,0.59375,0.35277088502894954
10,4,0.18181818181818182,0.5353535353535352,0.1521164021164021
10,5,0.75,0.8719211822660099,0.8428571428571427
