rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.46875,0.12523690078037905
1,2,0.375,0.8046875,0.442287784679089
1,3,0.375,0.7666666666666666,0.49299145299145297
1,4,0.36363636363636365,0.9705882352941176,0.75
1,5,0.3333333333333333,0.5862068965517242,0.44415584415584414
2,1,0.2857142857142857,0.6277777777777778,0.30034745955798586
2,2,0.25,0.5096774193548387,0.2464285714285714
2,3,0.14285714285714285,0.6767676767676767,0.26142697881828314
2,4,0.4444444444444444,0.7980295566502463,0.6007142857142858
2,5,0.4444444444444444,0.9558823529411764,0.5
3,1,0.3076923076923077,0.578125,0.37857142857142856
3,2,0.3076923076923077,0.8484848484848485,0.3055555555555556
3,3,0.47058823529411764,0.8722222222222222,0.675595238095238
3,4,0.25,0.9558823529411764,0.5
3,5,0.16666666666666666,0.47321428571428575,0.34180716384697113
4,1,0.15384615384615385,0.6262626262626263,0.2513227513227513
4,2,0.45454545454545453,0.7946428571428571,0.6121732026143791
4,3,0.0,0.4571428571428572,0.05
4,4,0.36363636363636365,0.6611111111111111,0.42350427350427344
4,5,0.42857142857142855,0.6387096774193549,0.5351809954751132
5,1,0.23529411764705882,0.6322580645161291,0.22406604747162023
5,2,0.5555555555555556,0.7339901477832512,0.5902973837756447
5,3,0.3076923076923077,0.5666666666666668,0.40714285714285714
5,4,0.0,0.6161616161616161,0.14370370370370372
5,5,0.2857142857142857,0.9705882352941176,0.5833333333333333
6,1,0.14285714285714285,0.5548387096774194,0.17616827616827618
6,2,0.42857142857142855,0.7722222222222223,0.5573904065283376
6,3,0.625,1.0,1.0
6,4,0.26666666666666666,0.5862068965517241,0.3663097136781347
6,5,0.0,,-0.0
7,1,0.15384615384615385,0.5625,0.3547619047619048
7,2,0.38095238095238093,0.6964285714285714,0.618014705882353
7,3,0.3333333333333333,0.9117647058823529,0.625
7,4,0.5714285714285714,0.838888888888889,0.5616096866096866
7,5,0.0,0.38383838383838376,0.09062049062049063
8,1,0.42105263157894735,0.7277777777777779,0.4820611061990372
8,2,0.4,0.7611111111111111,0.4702075702075702
8,3,0.14285714285714285,0.5390625,0.18752763041556145
8,4,0.15384615384615385,0.40625,0.14384920634920634
8,5,0.4,0.9393939393939393,0.7777777777777777
9,1,0.3333333333333333,0.5833333333333334,0.33874458874458874
9,2,0.4444444444444444,0.9411764705882353,0.6666666666666666
9,3,0.26666666666666666,0.7161290322580645,0.31666666666666665
9,4,0.2,0.8529411764705883,0.34090909090909094
9,5,0.3157894736842105,0.6473214285714286,0.5452726829700514
10,1,0.0,0.5882352941176471,0.09583333333333333
10,2,0.4,0.5960591133004925,0.4580847723704866
10,3,0.3333333333333333,0.703125,0.37424585218702866
10,4,0.15384615384615385,0.7171717171717171,0.27489177489177485
10,5,0.5263157894736842,0.8177339901477831,0.6679723502304147
