rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.46875,0.13155876381682835
1,2,0.4444444444444444,0.78125,0.4017857142857143
1,3,0.5454545454545454,0.8444444444444444,0.6805555555555555
1,4,0.6666666666666666,0.9852941176470588,0.8333333333333333
1,5,0.36363636363636365,0.5369458128078818,0.44745790789434053
2,1,0.36363636363636365,0.65,0.3376068376068376
2,2,0.5,0.5935483870967743,0.5384920634920636
2,3,0.3333333333333333,0.7676767676767677,0.3119047619047619
2,4,0.5454545454545454,0.7093596059113301,0.5632753945561828
2,5,0.2857142857142857,0.926470588235294,0.41666666666666663
3,1,0.0,0.6640625,0.3179563492063492
3,2,0.4,0.8080808080808081,0.4388888888888889
3,3,0.7142857142857143,0.9055555555555556,0.6367063492063493
3,4,0.4,0.9117647058823529,0.625
3,5,0.2222222222222222,0.42857142857142855,0.30849959219524437
4,1,0.2857142857142857,0.5555555555555556,0.4007803790412486
4,2,0.5714285714285714,0.8303571428571428,0.6967819435466495
4,3,0.0,0.17142857142857137,0.03333333333333333
4,4,0.36363636363636365,0.6611111111111111,0.31222481222481224
4,5,0.5714285714285714,0.6774193548387096,0.5849350649350649
5,1,0.5,0.7419354838709677,0.5432967032967033
5,2,0.2857142857142857,0.6453201970443351,0.5099956649326397
5,3,0.4,0.6222222222222222,0.3111111111111111
5,4,0.4,0.6262626262626263,0.41189931350114417
5,5,0.6666666666666666,0.9852941176470588,0.8333333333333333
6,1,0.0,0.4903225806451613,0.15577898803705253
6,2,0.5,0.788888888888889,0.4636752136752137
6,3,0.9090909090909091,0.9935483870967742,0.9666666666666666
6,4,0.2222222222222222,0.541871921182266,0.3298340548340548
6,5,0.0,,-0.0
7,1,0.2857142857142857,0.484375,0.34696969696969693
7,2,0.5333333333333333,0.6964285714285714,0.5062318428697739
7,3,0.3333333333333333,0.9264705882352942,0.3666666666666667
7,4,0.4,0.7555555555555555,0.5837477337477337
7,5,0.4,0.5656565656565657,0.41318681318681316
8,1,0.4,0.7055555555555556,0.532258064516129
8,2,0.6,0.7055555555555556,0.5806938159879336
8,3,0.2222222222222222,0.4921875,0.15595525649873476
8,4,0.0,0.6171875,0.22095959595959597
8,5,0.8571428571428571,1.0,1.0
9,1,0.25,0.5888888888888888,0.43764568764568756
9,2,0.4,0.9411764705882353,0.6666666666666666
9,3,0.4444444444444444,0.6451612903225807,0.319047619047619
9,4,0.2857142857142857,0.5735294117647058,0.2833333333333333
9,5,0.5714285714285714,0.7723214285714286,0.6085044122544122
10,1,0.0,0.47058823529411764,0.08116883116883117
10,2,0.2222222222222222,0.6551724137931034,0.5127437641723356
10,3,0.5,0.78125,0.54
10,4,0.25,0.5858585858585859,0.16203703703703703
10,5,0.7142857142857143,0.8226600985221675,0.7618622448979591
