rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.3984375,0.10875812093953025
1,2,0.6,0.8828125,0.5083333333333333
1,3,0.46153846153846156,0.7611111111111111,0.5555555555555556
1,4,0.36363636363636365,1.0,1.0
1,5,0.3076923076923077,0.4778325123152709,0.3087314925970388
2,1,0.3333333333333333,0.6111111111111112,0.3357473544973545
2,2,0.2857142857142857,0.5483870967741935,0.2491697191697192
2,3,0.18181818181818182,0.6868686868686869,0.26190476190476186
2,4,0.5333333333333333,0.7192118226600985,0.5367608581894296
2,5,0.25,0.8088235294117646,0.3214285714285714
3,1,0.4444444444444444,0.6171875,0.4817927170868347
3,2,0.2222222222222222,0.6969696969696969,0.2676767676767677
3,3,0.5,0.8833333333333333,0.625
3,4,0.2857142857142857,0.9411764705882353,0.41666666666666663
3,5,0.16666666666666666,0.3660714285714286,0.22980302824942295
4,1,0.16666666666666666,0.595959595959596,0.24166666666666667
4,2,0.4,0.6741071428571428,0.5780680973615756
4,3,0.0,0.19999999999999996,0.034482758620689655
4,4,0.3333333333333333,0.7388888888888889,0.3564178876678876
4,5,0.5,0.6967741935483871,0.6645833333333333
5,1,0.4,0.7419354838709677,0.4495454545454546
5,2,0.5333333333333333,0.6798029556650247,0.5028811524609844
5,3,0.26666666666666666,0.5333333333333333,0.2616091470258137
5,4,0.0,0.4646464646464646,0.10067340067340068
5,5,0.4,0.9852941176470588,0.8333333333333333
6,1,0.2,0.4838709677419355,0.17007899507899507
6,2,0.375,0.7055555555555556,0.34485294117647053
6,3,0.6666666666666666,1.0,1.0
6,4,0.16666666666666666,0.458128078817734,0.24202741702741704
6,5,0.0,,-0.0
7,1,0.16666666666666666,0.5234375,0.3482142857142857
7,2,0.42105263157894735,0.6919642857142857,0.5428053830227744
7,3,0.4444444444444444,0.9411764705882353,0.41666666666666663
7,4,0.46153846153846156,0.7222222222222222,0.5774712002972873
7,5,0.0,0.43434343434343436,0.10952380952380952
8,1,0.6153846153846154,0.8,0.6295815295815295
8,2,0.35294117647058826,0.6444444444444444,0.48220785440613023
8,3,0.14285714285714285,0.5546875,0.1885397761645493
8,4,0.0,0.4140625,0.11418067226890755
8,5,0.5714285714285714,0.9595959595959596,0.8095238095238095
9,1,0.26666666666666666,0.4722222222222222,0.20886383731211317
9,2,0.5,0.9852941176470588,0.8333333333333333
9,3,0.3333333333333333,0.6774193548387097,0.35309523809523813
9,4,0.2222222222222222,0.7352941176470589,0.2222222222222222
9,5,0.375,0.7142857142857143,0.581768942831216
10,1,0.0,0.6029411764705882,0.09722222222222221
10,2,0.2857142857142857,0.6403940886699507,0.4301175015460729
10,3,0.36363636363636365,0.671875,0.36685463659147866
10,4,0.18181818181818182,0.45454545454545453,0.1691358024691358
10,5,0.5555555555555556,0.8275862068965518,0.642032967032967
