rep,fold,f1,roc_auc,pr_auc
1,1,0.18181818181818182,0.5703125,0.1746031746031746
1,2,0.46153846153846156,0.7109375,0.2648809523809524
1,3,0.5,0.7666666666666666,0.5160830999066293
1,4,0.5714285714285714,0.9411764705882353,0.45
1,5,0.3333333333333333,0.5270935960591133,0.4537774053903086
2,1,0.46153846153846156,0.6277777777777778,0.3145833333333333
2,2,0.36363636363636365,0.5290322580645161,0.3244875222816399
2,3,0.2222222222222222,0.6565656565656565,0.1976190476190476
2,4,0.5333333333333333,0.7733990147783251,0.5644009216589861
2,5,0.2857142857142857,0.8382352941176471,0.25757575757575757
3,1,0.5,0.59375,0.27558479532163743
3,2,0.25,0.8080808080808082,0.2611111111111111
3,3,0.5333333333333333,0.8666666666666666,0.6143790849673203
3,4,0.36363636363636365,0.9705882352941176,0.75
3,5,0.3076923076923077,0.45982142857142855,0.2687726286287596
4,1,0.18181818181818182,0.5151515151515151,0.1270293063461944
4,2,0.5555555555555556,0.875,0.7515899122807017
4,3,0.0,0.17142857142857137,0.03333333333333333
4,4,0.3333333333333333,0.6388888888888888,0.2746427957147771
4,5,0.6,0.6322580645161291,0.6543778801843319
5,1,0.42857142857142855,0.7806451612903225,0.3137606837606838
5,2,0.5333333333333333,0.645320197044335,0.5420454545454545
5,3,0.2857142857142857,0.5722222222222223,0.29350198412698414
5,4,0.0,0.46464646464646464,0.10064102564102564
5,5,0.6666666666666666,0.9705882352941176,0.75
6,1,0.36363636363636365,0.5870967741935484,0.23458333333333337
6,2,0.46153846153846156,0.7388888888888889,0.3790674603174603
6,3,0.625,0.967741935483871,0.7861904761904761
6,4,0.18181818181818182,0.5320197044334976,0.2833333333333333
6,5,0.0,,-0.0
7,1,0.16666666666666666,0.4453125,0.34060057589469356
7,2,0.5555555555555556,0.7946428571428572,0.5940806878306878
7,3,0.5,0.9264705882352942,0.3666666666666667
7,4,0.6,0.7222222222222223,0.4602737905369484
7,5,0.0,0.4343434343434343,0.10183150183150183
8,1,0.5714285714285714,0.7666666666666666,0.5573572708653354
8,2,0.4,0.6944444444444444,0.3368055555555555
8,3,0.3076923076923077,0.5078125,0.16321044546850996
8,4,0.0,0.53125,0.14922250951662716
8,5,0.6666666666666666,0.8686868686868687,0.7291666666666666
9,1,0.3333333333333333,0.5555555555555555,0.2570901320901321
9,2,0.5714285714285714,0.9852941176470588,0.8333333333333333
9,3,0.36363636363636365,0.6709677419354839,0.30598355471220745
9,4,0.36363636363636365,0.8823529411764706,0.26666666666666666
9,5,0.42857142857142855,0.6875,0.5022550366300367
10,1,0.2222222222222222,0.8382352941176471,0.2111111111111111
10,2,0.3333333333333333,0.5812807881773399,0.30562596006144394
10,3,0.4444444444444444,0.6875,0.58125
10,4,0.25,0.6161616161616161,0.2595307917888563
10,5,0.5882352941176471,0.7635467980295566,0.4528929851510496
